datetime,tempC,humidity,Power
5/1/2013 0:00,25,92,1.515
5/1/2013 1:00,25,93,1.453
5/1/2013 2:00,25,93,1.112
5/1/2013 3:00,24,94,0
5/1/2013 4:00,25,93,0
5/1/2013 5:00,25,93,0
5/1/2013 6:00,25,92,0
5/1/2013 7:00,26,87,0
5/1/2013 8:00,27,83,0
5/1/2013 9:00,28,79,0
5/1/2013 10:00,29,75,0
5/1/2013 11:00,30,71,0
5/1/2013 12:00,31,68,0.187
5/1/2013 13:00,31,69,0.644
5/1/2013 14:00,30,71,0.986
5/1/2013 15:00,30,73,0
5/1/2013 16:00,29,78,0.977
5/1/2013 17:00,27,83,0.993
5/1/2013 18:00,26,88,0
5/1/2013 19:00,26,89,1.867
5/1/2013 20:00,25,90,0
5/1/2013 21:00,25,92,0
5/1/2013 22:00,25,92,0
5/1/2013 23:00,24,92,0
5/2/2013 0:00,24,93,1.98
5/2/2013 1:00,24,94,1.422
5/2/2013 2:00,23,95,1.367
5/2/2013 3:00,23,96,1.408
5/2/2013 4:00,23,93,1.302
5/2/2013 5:00,23,91,1.418
5/2/2013 6:00,24,89,1
5/2/2013 7:00,26,80,1.846
5/2/2013 8:00,28,71,2.752
5/2/2013 9:00,30,62,3.85
5/2/2013 10:00,32,55,4.126
5/2/2013 11:00,34,48,0.396
5/2/2013 12:00,35,42,0.407
5/2/2013 13:00,35,43,3.287
5/2/2013 14:00,35,45,3.822
5/2/2013 15:00,34,46,0
5/2/2013 16:00,32,53,0
5/2/2013 17:00,30,61,0
5/2/2013 18:00,28,68,0.244
5/2/2013 19:00,27,72,2.218
5/2/2013 20:00,26,76,0.202
5/2/2013 21:00,26,80,2.264
5/2/2013 22:00,25,82,2.519
5/2/2013 23:00,25,84,1.213
5/3/2013 0:00,24,85,1.483
5/3/2013 1:00,24,87,1.785
5/3/2013 2:00,24,88,1.666
5/3/2013 3:00,24,89,1.556
5/3/2013 4:00,24,88,0.87
5/3/2013 5:00,24,88,1.447
5/3/2013 6:00,24,87,1.965
5/3/2013 7:00,26,78,2.016
5/3/2013 8:00,28,69,2.761
5/3/2013 9:00,31,59,4.009
5/3/2013 10:00,32,54,3.845
5/3/2013 11:00,34,49,2.941
5/3/2013 12:00,35,43,3.438
5/3/2013 13:00,35,48,2.967
5/3/2013 14:00,34,53,3.484
