datetime,Power
5/1/2013 0:00,1.515
5/1/2013 1:00,1.453
5/1/2013 2:00,1.112
5/1/2013 3:00,0
5/1/2013 4:00,0
5/1/2013 5:00,0
5/1/2013 6:00,0
5/1/2013 7:00,0
5/1/2013 8:00,0
5/1/2013 9:00,0
5/1/2013 10:00,0
5/1/2013 11:00,0
5/1/2013 12:00,0.187
5/1/2013 13:00,0.644
5/1/2013 14:00,0.986
5/1/2013 15:00,0
5/1/2013 16:00,0.977
5/1/2013 17:00,0.993
5/1/2013 18:00,0
5/1/2013 19:00,1.867
5/1/2013 20:00,0
5/1/2013 21:00,0
5/1/2013 22:00,0
5/1/2013 23:00,0
5/2/2013 0:00,1.98
5/2/2013 1:00,1.422
5/2/2013 2:00,1.367
5/2/2013 3:00,1.408
5/2/2013 4:00,1.302
5/2/2013 5:00,1.418
5/2/2013 6:00,1
5/2/2013 7:00,1.846
5/2/2013 8:00,2.752
5/2/2013 9:00,3.85
5/2/2013 10:00,4.126
5/2/2013 11:00,0.396
5/2/2013 12:00,0.407
5/2/2013 13:00,3.287
5/2/2013 14:00,3.822
5/2/2013 15:00,0
5/2/2013 16:00,0
5/2/2013 17:00,0
5/2/2013 18:00,0.244
5/2/2013 19:00,2.218
5/2/2013 20:00,0.202
5/2/2013 21:00,2.264
5/2/2013 22:00,2.519
5/2/2013 23:00,1.213
5/3/2013 0:00,1.483
5/3/2013 1:00,1.785
5/3/2013 2:00,1.666
5/3/2013 3:00,1.556
5/3/2013 4:00,0.87
5/3/2013 5:00,1.447
5/3/2013 6:00,1.965
5/3/2013 7:00,2.016
5/3/2013 8:00,2.761
5/3/2013 9:00,4.009
5/3/2013 10:00,3.845
5/3/2013 11:00,2.941
5/3/2013 12:00,3.438
5/3/2013 13:00,2.967
5/3/2013 14:00,3.484
5/3/2013 15:00,0
5/3/2013 16:00,1.265
5/3/2013 17:00,0
5/3/2013 18:00,1.193
5/3/2013 19:00,2.452
5/3/2013 20:00,2.567
5/3/2013 21:00,2.429
5/3/2013 22:00,2.239
5/3/2013 23:00,0.476
5/4/2013 0:00,1.403
5/4/2013 1:00,1.749
5/4/2013 2:00,1.68
5/4/2013 3:00,1.645
5/4/2013 4:00,1.58
5/4/2013 5:00,1.633
5/4/2013 6:00,1.676
5/4/2013 7:00,1.806
5/4/2013 8:00,2.014
5/4/2013 9:00,0
5/4/2013 10:00,0
5/4/2013 11:00,0
5/4/2013 12:00,0.107
5/4/2013 13:00,0
5/4/2013 14:00,0
5/4/2013 15:00,0
5/4/2013 16:00,0
5/4/2013 17:00,2.122
5/4/2013 18:00,2.427
5/4/2013 19:00,2.57
5/4/2013 20:00,0
5/4/2013 21:00,0
5/4/2013 22:00,0
5/4/2013 23:00,1.325
5/5/2013 0:00,1.642
5/5/2013 1:00,1.822
5/5/2013 2:00,1.744
5/5/2013 3:00,1.76
5/5/2013 4:00,1.74
5/5/2013 5:00,1.68
